,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
33,33,CBC,"Looking back at a decade of Vancouver real estate. It's been a long and strange trip,' says urban planning professor Andy Yan",2020-01-01,0
114,114,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock. 'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says",2018-11-30,-1
113,113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say. Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market",2018-11-30,-1
79,79,CBC,Canadian and U.S. economies are converging but danger lurks: Don Pittis. Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,-1
53,53,CBC,"Advocate slams 'outrageous' Tarion executive salaries, calls for cap. Newly released documents show Tarion CEO made $769K in 2018",2019-10-16,0
95,95,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Vancouver’s dirty money figures: The smoking gun that wasn’t. A closer reading of the studies show there's little hard evidence of actual money laundering, and even then, the amounts could be much smaller",2019-05-16,1
106,106,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years",2019-02-05,-1
23,23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living. Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,2020-02-18,-1
71,71,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian housing starts decline 9.6% in July on multi-unit drop. But 'residential construction activity remains rock solid,' BMO economist says",2019-08-09,-1
88,88,CBC,Metro Vancouver housing sales remain sluggish in May. Latest report shows property sales 23 per cent below 10-year average,2019-06-05,-1
67,67,CBC,Government says new Victoria micro-apartments will help with middle-income housing crisis. Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,1
19,19,CBC,"We are not in a crisis': New N.W.T. government delivers $1.9B budget. Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,1
39,39,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bank of Canada governor Stephen Poloz to step down June 2020. The board has begun a search to select the next Governor of the Bank,2019-12-06,0
9,9,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'This is freezing the market': Once roaring, Canadian home sales brace for 30% drop from coronavirus. Real estate listings are drying up, open houses have been cancelled, and buyers are staying home",2020-04-02,-1
100,100,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval. It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,-1
72,72,CBC,"Hot housing market in K-W matched hot temperatures in July, realtors say. Townhouse sales saw a particularly sharp increase of 45.1 per cent over July 2018",2019-08-07,1
80,80,CBC,Stratford accepting applications for affordable housing project. 35 units will available priced at 80 per cent of the local average market rent,2019-07-06,1
97,97,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto housing market starts buying season with a bang, sales up 17%. Average selling price climbs 1.9% to $820,148",2019-05-06,1
75,75,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked. ‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,0
32,32,CBC,"Toronto home sales jump 17.4% in December, average price up 12%. Condos saw the biggest price gains through 2019",2020-01-07,1
98,98,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada’s economy unexpectedly shrinks as resource sector stalls. Falling resource production was the main culprit, with the mining and oil and gas sector down 1.6% — its sixth consecutive drop",2019-04-30,0
13,13,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada ramps up asset buying to backstop coronavirus-slammed economy. CMHC announced Thursday it will buy up to $150 billion of mortgages from banks, triple the amount announced two weeks ago",2020-03-26,-1
62,62,CBC,"Biden clashes with Warren, Sanders on health care in 3rd Democratic debate. Candidates pare back some of the bickering that marked 2 earlier debates",2019-09-13,0
115,115,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Millennials are no different from their baby boomer parents — they're just poorer. A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on,2018-11-29,-1
43,43,CBC,"Hamilton-Burlington average home price to rise 3.8 per cent in 2020, ReMax estimates. Compared to a 3.7 per cent national increase for the average home price",2019-11-27,1
48,48,CBC,Vancouver mayor calls massive First Nation development a 'gift to the city'. Squamish Nation plans to build 11 housing towers on reserve land in the heart of the city,2019-11-08,0
58,58,CBC,"Higher home prices, higher debt levels and how they affect our choices. What do booming housing markets mean for Canadian communities?",2019-09-28,1
112,112,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto housing sales fall the most in eight months, but prices stay steady. New listings down 26%",2018-12-05,-1
28,28,CBC,"This paramedic commutes 6 hours to work in Vancouver because he can't afford to live there. Metro Vancouver's affordability crisis pushing professionals out to homes in Okanagan, Vancouver Island",2020-01-17,-1
99,99,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trump hails America’s blockbuster GDP growth — 'far higher than the high expectations'. But underlying demand was weaker than the headline number,2019-04-26,0
7,7,CBC,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,-1
40,40,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,1
86,86,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money. Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime",2019-06-10,-1
18,18,CBC,"Montreal tenants are swapping apartments to avoid rising rents. Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,1
15,15,CBC,"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues. It was a relief for everybody. At least we can just focus on one thing now: our kids'",2020-03-23,0
10,10,CBC,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak. COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,-1
82,82,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Oxford Properties Group is planning one of Canada's biggest real estate projects in Toronto. Plans call for two office towers, of 58 and 48 stories, about 800 rental apartments across two buildings and 200,000 square feet for retail",2019-06-26,1
85,85,CBC,"Why Canadians find saving so hard — and how to get better at it ASAP. A new study says we’re particularly bad at saving, so we enlisted an expert for help",2019-06-12,0
38,38,CBC,"The day after the deal: How do Calgarians feel about funding a new arena?. Some are angry, others are optimistic — but there's no shortage of opinion",2019-12-07,0
107,107,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes. Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check,2019-01-28,-1
101,101,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","No quick exit to our economy’s slow patch seen as today's retail sales and inflation numbers disappoint. Retail sales were the big disappointment, underscoring a broader trend of slowing consumption by households",2019-03-22,-1
20,20,Bloomberg News,"U.S. housing starts fall from 13-year high, while permits surge. Residential starts slipped 3.6 per cent to a 1.57 million annualized rate, still the second-fastest pace of the expansion, after an upwardly revised 1.63 million pace in the prior month, according to government figures released Wednesday. January starts exceeded the median estimate in a Bloomberg survey of economists. Permits, a proxy for future construction, advanced 9.2 per cent to a 1.55 million rate, the highest since March 2007.",2020-02-19,0
31,31,BNN Bloomberg,"Montreal home sales jump 26% in December to end ‘exceptional year’. The Montreal area housing market continued to heat up in the last month of 2019, as sales and prices marched higher.",2020-01-08,1
64,64,CBC,"Small space, big impact: Tiny homes could soon be coming to Edmonton properties. It would bring life to an area that is usually not utilized'",2019-09-06,-1
94,94,CBC,"How the city of Cambridge hopes to pay for more affordable housing. Current wait times for affordable units are lengthy, says Housing Cambridge GM",2019-05-21,1
