,description,publishedAt,title,title_desc_sent_1,title_desc
36,Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely,2019-12-11,"U.S. Federal Reserve holds rates steady, expects moderate growth next year",0,"U.S. Federal Reserve holds rates steady, expects moderate growth next year. Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely"
109,"Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees,1,"Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees. Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency"
79,"The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes.",2019-07-11,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO",-1,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO. The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes."
105,"Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change.",2019-02-05,Regulator OSFI opens door to easing Canadian mortgage rules,0,"Regulator OSFI opens door to easing Canadian mortgage rules. Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change."
123,Canada’s big banks increased their prime lending rates on Wednesday.,2017-07-13,Canada's banks increase prime lending rates,1,Canada's banks increase prime lending rates. Canada’s big banks increased their prime lending rates on Wednesday.
31,Officials say construction on the twin tower development will take about three years,2020-01-08,Development with 110 affordable units in London gets $130M boost,1,Development with 110 affordable units in London gets $130M boost. Officials say construction on the twin tower development will take about three years
66,"The maximum purchase price of $565,000 puts many markets out of reach",2019-09-03,Ottawa’s homebuyer plan not a big help in Canada’s pricey markets,-1,"Ottawa’s homebuyer plan not a big help in Canada’s pricey markets. The maximum purchase price of $565,000 puts many markets out of reach"
49,Canada Mortgage and Housing Corp. says pace of new construction down with fewer multi-unit projects begun,2019-11-08,"Annual pace of housing starts slowed to 201,973 in October, CMHC reports",-1,"Annual pace of housing starts slowed to 201,973 in October, CMHC reports. Canada Mortgage and Housing Corp. says pace of new construction down with fewer multi-unit projects begun"
44,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
75,"New stock, new uses driving prices",2019-07-31,How Charlottetown has become one of the hottest housing markets in Canada,1,"How Charlottetown has become one of the hottest housing markets in Canada. New stock, new uses driving prices"
