,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
78,78,CBC,It's been 2 years since the B.C. NDP formed government. How is it faring?. Housing policies have been aggressive and climate change is a let-down to voters,2019-07-19,0
114,114,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock. 'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says",2018-11-30,-1
113,113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say. Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market",2018-11-30,-1
79,79,CBC,Canadian and U.S. economies are converging but danger lurks: Don Pittis. Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,-1
1,1,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund. (Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,2020-05-05,0
95,95,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Vancouver’s dirty money figures: The smoking gun that wasn’t. A closer reading of the studies show there's little hard evidence of actual money laundering, and even then, the amounts could be much smaller",2019-05-16,1
106,106,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years",2019-02-05,-1
23,23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living. Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,2020-02-18,-1
71,71,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian housing starts decline 9.6% in July on multi-unit drop. But 'residential construction activity remains rock solid,' BMO economist says",2019-08-09,-1
88,88,CBC,Metro Vancouver housing sales remain sluggish in May. Latest report shows property sales 23 per cent below 10-year average,2019-06-05,-1
67,67,CBC,Government says new Victoria micro-apartments will help with middle-income housing crisis. Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,1
19,19,CBC,"We are not in a crisis': New N.W.T. government delivers $1.9B budget. Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,1
74,74,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","With the Bank of Canada on hold, watch our $2.19 trillion household debt load grow. Spending on big ticket items is about to resume, says strategist",2019-07-26,0
9,9,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'This is freezing the market': Once roaring, Canadian home sales brace for 30% drop from coronavirus. Real estate listings are drying up, open houses have been cancelled, and buyers are staying home",2020-04-02,-1
100,100,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval. It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,-1
72,72,CBC,"Hot housing market in K-W matched hot temperatures in July, realtors say. Townhouse sales saw a particularly sharp increase of 45.1 per cent over July 2018",2019-08-07,1
80,80,CBC,Stratford accepting applications for affordable housing project. 35 units will available priced at 80 per cent of the local average market rent,2019-07-06,1
97,97,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto housing market starts buying season with a bang, sales up 17%. Average selling price climbs 1.9% to $820,148",2019-05-06,1
69,69,CBC,"You aren't allowed to live in your RV year round, regional district warns. People are doing things like installing wood-burning stoves ... they're really moving in'",2019-08-15,0
32,32,CBC,"Toronto home sales jump 17.4% in December, average price up 12%. Condos saw the biggest price gains through 2019",2020-01-07,1
35,35,CBC,Are 2020's tax changes 'significant' or 'a wash'?. Liberals' promised tax cut may help 20 million Canadians - but only a little,2019-12-31,0
13,13,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada ramps up asset buying to backstop coronavirus-slammed economy. CMHC announced Thursday it will buy up to $150 billion of mortgages from banks, triple the amount announced two weeks ago",2020-03-26,-1
93,93,CBC,"Thousands join effort to stop international student from being deported for 'working too hard,' he says. Jobandeep Singh Sandhu says he had no choice but to work extra hours to pay for his program",2019-05-24,0
115,115,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Millennials are no different from their baby boomer parents — they're just poorer. A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on,2018-11-29,-1
