,description,publishedAt,title,title_desc_sent_1,title_desc
90,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,0,"Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52. Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC"
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
0,"Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic.",2020-05-13,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%",-1,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%. Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic."
114,"Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you.",2018-10-15,Sears posts job openings with bankruptcy filing ink still wet,1,"Sears posts job openings with bankruptcy filing ink still wet. Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you."
76,Survivor says she's frustrated by bail decision,2019-08-13,Awet Mehari granted bail pending appeal hearing for sexual assault conviction,0,Awet Mehari granted bail pending appeal hearing for sexual assault conviction. Survivor says she's frustrated by bail decision
79,Unclear what signal will emerge about the scope for further easing,2019-07-31,"Fed looks locked in for quarter-point cut, but there may be drama",0,"Fed looks locked in for quarter-point cut, but there may be drama. Unclear what signal will emerge about the scope for further easing"
103,Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue,2019-03-05,Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year,0,Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year. Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue
63,"We're always in need of new people as people leave, people retire, people transfer'",2019-09-28,Army reserves looking for recruits at P.E.I. open house,1,"Army reserves looking for recruits at P.E.I. open house. We're always in need of new people as people leave, people retire, people transfer'"
49,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,Nova Scotia eyes ride sharing to ease rural transportation woes,1,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike
113,"Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations.",2018-11-19,Canada 6th in the world at attracting talent,1,"Canada 6th in the world at attracting talent. Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations."
63,"We're always in need of new people as people leave, people retire, people transfer'",2019-09-28,Army reserves looking for recruits at P.E.I. open house,1,"Army reserves looking for recruits at P.E.I. open house. We're always in need of new people as people leave, people retire, people transfer'"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
37,"Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team",2020-01-09,"Taco Bell is so desperate for workers it's offering $100,000 salaries",1,"Taco Bell is so desperate for workers it's offering $100,000 salaries. Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team"
102,Aren’t we supposed to be in a slowdown?,2019-03-08,What gives? Canada’s job market off to its best start in almost 40 years,1,What gives? Canada’s job market off to its best start in almost 40 years. Aren’t we supposed to be in a slowdown?
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat"
54,Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04,Sophisticated' fraud scheme tripped by power bill error,0,Sophisticated' fraud scheme tripped by power bill error. Saint John police believe ID thieves from Montreal are part of criminal organization
26,Could be good news for the nation's increasingly tight real estate markets,2020-02-10,Condo gains push Canadian housing starts to 4-month high,0,Condo gains push Canadian housing starts to 4-month high. Could be good news for the nation's increasingly tight real estate markets
70,"In the past 10 years, the TSX has dropped an average 1.5% in September",2019-09-03,"If you thought August was bad, get ready for the worst month for Canadian stocks",0,"If you thought August was bad, get ready for the worst month for Canadian stocks. In the past 10 years, the TSX has dropped an average 1.5% in September"
3,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,-1,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar
37,"Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team",2020-01-09,"Taco Bell is so desperate for workers it's offering $100,000 salaries",1,"Taco Bell is so desperate for workers it's offering $100,000 salaries. Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team"
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
45,Unemployment rate jumps the most since 2009 to 5.9%,2019-12-06,"Canada loses 71,200 jobs in biggest employment drop in decade",-1,"Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%"
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
34,RoboHub is a robotics incubator that provides researchers with expertise and equipment,2020-01-24,University of Waterloo's RoboHub to be featured in YouTube AI series,0,University of Waterloo's RoboHub to be featured in YouTube AI series. RoboHub is a robotics incubator that provides researchers with expertise and equipment
84,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",2019-07-09,Hundreds of hospital beds shut down across Quebec as staff go on vacation,0,"Hundreds of hospital beds shut down across Quebec as staff go on vacation. Health authorities say it's difficult to replace staff during the summer months, but activities are reduced"
55,Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,2019-10-25,MLB conducting wider probe of Astros after assistant GM fired,0,MLB conducting wider probe of Astros after assistant GM fired. Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win
85,"Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception",2019-07-03,"The world of monetary policy, according to Christine Lagarde",0,"The world of monetary policy, according to Christine Lagarde. Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception"
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
14,'A lot of the bad news is already built into the market',2020-04-02,Stocks suffer weekly loss after dismal jobs report,-1,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market'
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
13,"Accounting, e-commerce and IT jobs need to be filled, recruiters say",2020-04-03,Looking for work? These industries are hiring in Toronto during the COVID-19 pandemic,1,"Looking for work? These industries are hiring in Toronto during the COVID-19 pandemic. Accounting, e-commerce and IT jobs need to be filled, recruiters say"
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
116,"The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again.",2018-04-19,Number of Canadians receiving EI benefits hits record low,1,"Number of Canadians receiving EI benefits hits record low. The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again."
87,Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP,2019-06-28,"Canada's economy shakes off doldrums, expands 0.3% in April",1,"Canada's economy shakes off doldrums, expands 0.3% in April. Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP"
49,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,Nova Scotia eyes ride sharing to ease rural transportation woes,1,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas
50,"Insolvencies are accelerating at a pace that's been associated with periods of distress, yet the economic backdrop has been positive",2019-11-18,Surge in number of Canadians who can't pay their debts has economists worried — and scratching their heads,0,"Surge in number of Canadians who can't pay their debts has economists worried — and scratching their heads. Insolvencies are accelerating at a pace that's been associated with periods of distress, yet the economic backdrop has been positive"
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
