,description,publishedAt,title,title_desc_sent_1,title_desc
63,"Goal isn't to come up with something politically palatable, it's to secure future: May",2019-09-27,"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May",0,"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May. Goal isn't to come up with something politically palatable, it's to secure future: May"
62,Candidates gathered for panel discussion Friday,2019-09-28,The candidates for Regina‚ÄíLewvan and where they stand on the issues,0,The candidates for Regina‚ÄíLewvan and where they stand on the issues. Candidates gathered for panel discussion Friday
8,This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23,P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions,0,P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions. This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season'
0,"Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report,-1,"Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report. Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021"
98,"U.S. economic growth cooled by more than initially reported last quarter on revisions to consumer and government spending, signaling mounting challenges to the expansion as it nears a record duration.",2019-03-28,U.S. fourth-quarter growth pace revised down to 2.2% from 2.6%,-1,"U.S. fourth-quarter growth pace revised down to 2.2% from 2.6%. U.S. economic growth cooled by more than initially reported last quarter on revisions to consumer and government spending, signaling mounting challenges to the expansion as it nears a record duration."
122,"Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat.",2018-07-31,Oil drives Canada's fastest economic growth spurt in a year,1,"Oil drives Canada's fastest economic growth spurt in a year. Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat."
27,"Changes likely to impact service, farming and health-care industries, among others",2020-02-19,British immigration overhaul takes aim at 'cheap labour from Europe',0,"British immigration overhaul takes aim at 'cheap labour from Europe'. Changes likely to impact service, farming and health-care industries, among others"
124,"President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years.",2018-07-27,Trump claims victory as GDP grows at fastest pace since 2014,1,"Trump claims victory as GDP grows at fastest pace since 2014. President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years."
105,Canada's statistics agency will stop releasing monthly merchandise trade data indefinitely because of the U.S. government shutdown,2019-01-17,Forget about getting fresh trade data — the U.S. shutdown is now hitting Canada,-1,Forget about getting fresh trade data — the U.S. shutdown is now hitting Canada. Canada's statistics agency will stop releasing monthly merchandise trade data indefinitely because of the U.S. government shutdown
62,Candidates gathered for panel discussion Friday,2019-09-28,The candidates for Regina‚ÄíLewvan and where they stand on the issues,0,The candidates for Regina‚ÄíLewvan and where they stand on the issues. Candidates gathered for panel discussion Friday
36,"Capital city can expect ‚Äòvery modest‚Äô growth, John Rose says",2020-01-02,"Edmonton economy to improve only slightly in 2020, city's chief economist says",1,"Edmonton economy to improve only slightly in 2020, city's chief economist says. Capital city can expect ‚Äòvery modest‚Äô growth, John Rose says"
60,"Canada’s economy unexpectedly stalled in July, a result that could raise concern the nation isn’t immune to the broader global slowdown.",2019-10-01,Canadian economy stalls in July amid oil and gas slowdown,-1,"Canadian economy stalls in July amid oil and gas slowdown. Canada’s economy unexpectedly stalled in July, a result that could raise concern the nation isn’t immune to the broader global slowdown."
108,Factories lead fastest economic growth in five months,2018-12-21,Canada’s economy grows faster than expected,1,Canada’s economy grows faster than expected. Factories lead fastest economic growth in five months
14,"The new figure of 929,000 — 5% of the labour force — includes claims made over the weekend, source says",2020-03-24,Nearly 1 million Canadians applied for jobless claims last week as economy rapidly deteriorates,-1,"Nearly 1 million Canadians applied for jobless claims last week as economy rapidly deteriorates. The new figure of 929,000 — 5% of the labour force — includes claims made over the weekend, source says"
72,"Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth",2019-08-23,The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June,1,"The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June. Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth"
108,Factories lead fastest economic growth in five months,2018-12-21,Canada’s economy grows faster than expected,1,Canada’s economy grows faster than expected. Factories lead fastest economic growth in five months
62,Candidates gathered for panel discussion Friday,2019-09-28,The candidates for Regina‚ÄíLewvan and where they stand on the issues,0,The candidates for Regina‚ÄíLewvan and where they stand on the issues. Candidates gathered for panel discussion Friday
115,"With China’s economic expansion expected to slow as trade wars heat up, a closer look at the data may offer a better look at what’s really happening in the world’s second-largest economy.",2018-10-18,"What to watch in China's GDP report: Trade, autos, manufacturing",-1,"What to watch in China's GDP report: Trade, autos, manufacturing. With China’s economic expansion expected to slow as trade wars heat up, a closer look at the data may offer a better look at what’s really happening in the world’s second-largest economy."
68,"In the past 10 years, the TSX has dropped an average 1.5% in September",2019-09-03,"If you thought August was bad, get ready for the worst month for Canadian stocks",0,"If you thought August was bad, get ready for the worst month for Canadian stocks. In the past 10 years, the TSX has dropped an average 1.5% in September"
40,Flood of immigrants and non-permanent residents to levels not seen in a century a main driver supporting Canada's economic expansion,2019-12-20,Forget interest rate decisions. Loonie traders are banking on immigration to Canada,1,Forget interest rate decisions. Loonie traders are banking on immigration to Canada. Flood of immigrants and non-permanent residents to levels not seen in a century a main driver supporting Canada's economic expansion
30,I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26,It's been tough': Edmonton's job market limps into new year,-1,It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough'
116,"The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.",2018-09-27,U.S. economy grew at unrevised 4.2% pace in second quarter,1,"U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday."
61,"That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats",2019-09-30,"Liberals promises new spending and four more years of deficits, each above $20 billion",1,"Liberals promises new spending and four more years of deficits, each above $20 billion. That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats"
119,"Canada’s economy grew at the fastest pace in a year in the second quarter as exports surged, though a slowdown in business investment may cast some clouds over the brighter economic picture.",2018-08-30,Canadian economy surges in second quarter on higher exports,1,"Canadian economy surges in second quarter on higher exports. Canada’s economy grew at the fastest pace in a year in the second quarter as exports surged, though a slowdown in business investment may cast some clouds over the brighter economic picture."
33,"USMCA, Trump’s top legislative priority for the past year, cleared the Senate on an 89-10 vote and now heads to the president for his signature",2020-01-16,"U.S. Senate approves new NAFTA deal, handing Trump a major political win",1,"U.S. Senate approves new NAFTA deal, handing Trump a major political win. USMCA, Trump’s top legislative priority for the past year, cleared the Senate on an 89-10 vote and now heads to the president for his signature"
70,Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation,2019-08-28,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA,0,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA. Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation
102,"After a monthlong delay due to the federal shutdown, data out Thursday will show just how much steam the U.S. economy lost in the fourth quarter -- and what it all means for 2019.",2019-02-27,Month-late GDP data to detail where the U.S. economy is losing steam,-1,"Month-late GDP data to detail where the U.S. economy is losing steam. After a monthlong delay due to the federal shutdown, data out Thursday will show just how much steam the U.S. economy lost in the fourth quarter -- and what it all means for 2019."
1,PBO says it's possible federal debt will hit $1 trillion because of pandemic relief spending,2020-05-13,"Federal deficit likely to be higher than $252 billion, parliamentary budget¬†officer says",-1,"Federal deficit likely to be higher than $252 billion, parliamentary budget¬†officer says. PBO says it's possible federal debt will hit $1 trillion because of pandemic relief spending"
35,"Belarus relies on Russia for 80% of energy needs, hosts pipeline that Russia uses to export oil",2020-01-03,Russia cuts off oil supplies to Belarus as economic talks collapse,0,"Russia cuts off oil supplies to Belarus as economic talks collapse. Belarus relies on Russia for 80% of energy needs, hosts pipeline that Russia uses to export oil"
52,"Having escaped an October crash, can we finally talk about irrational markets?",2019-11-11,Lessons from the Great Crash of 1929 for investing in an ever-rising market: Don Pittis,0,"Lessons from the Great Crash of 1929 for investing in an ever-rising market: Don Pittis. Having escaped an October crash, can we finally talk about irrational markets?"
70,Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation,2019-08-28,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA,0,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA. Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation
39,"Canada’s economy contracted in October for the first time in eight months, as the United Auto Workers strike in the U.S. weighed on plant production.",2019-12-23,Canada's economy shrinks in October from auto strike spillover,-1,"Canada's economy shrinks in October from auto strike spillover. Canada’s economy contracted in October for the first time in eight months, as the United Auto Workers strike in the U.S. weighed on plant production."
