,description,publishedAt,title,title_desc_sent_1,title_desc
28,"Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,What Alberta job losses in January mean for Edmonton,-1,"What Alberta job losses in January mean for Edmonton. Statistics Canada says Alberta lost 19,000 jobs last month"
48,"The U.S. stock market's record-setting rally will lose some steam in 2020, with the risk of a pullback increasing in the next few months",2019-11-27,"RBC sees stock turbulence ahead as S&P 500 pushes toward 3,350",-1,"RBC sees stock turbulence ahead as S&P 500 pushes toward 3,350. The U.S. stock market's record-setting rally will lose some steam in 2020, with the risk of a pullback increasing in the next few months"
92,"'You have to be very, very brave to call the top for the tech sector'",2019-06-05,Are tech's glory days over? This US$442 billion money manager thinks so,-1,"Are tech's glory days over? This US$442 billion money manager thinks so. 'You have to be very, very brave to call the top for the tech sector'"
84,"Company cautions consumers to expect shortages, analyst warns of financial impact",2019-07-08,CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing,-1,"CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing. Company cautions consumers to expect shortages, analyst warns of financial impact"
66,"I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23,"TSX falls from record high after a week of gains, U.S. markets mixed",-1,"TSX falls from record high after a week of gains, U.S. markets mixed. I think this kind of a catch-your-breath moment for the markets, analyst said"
116,The rout in Chinese equities is throwing the spotlight on US$613 billion of shares pledged as collateral for loans.,2018-10-16,China’s stock rout puts US$613B of share pledges at risk,-1,China’s stock rout puts US$613B of share pledges at risk. The rout in Chinese equities is throwing the spotlight on US$613 billion of shares pledged as collateral for loans.
92,"'You have to be very, very brave to call the top for the tech sector'",2019-06-05,Are tech's glory days over? This US$442 billion money manager thinks so,-1,"Are tech's glory days over? This US$442 billion money manager thinks so. 'You have to be very, very brave to call the top for the tech sector'"
112,"Apple Inc. analysts expect continued volatility as the company grapples with the prospect of slowing iPhone sales and tariffs against mobile devices made in China, but they also see an opportunity emerging after the biggest monthly decline for the stock in more than a decade.",2018-11-28,Apple bulls see long-term potential despite recent ‘horror show’,-1,"Apple bulls see long-term potential despite recent ‘horror show’. Apple Inc. analysts expect continued volatility as the company grapples with the prospect of slowing iPhone sales and tariffs against mobile devices made in China, but they also see an opportunity emerging after the biggest monthly decline for the stock in more than a decade."
28,"Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,What Alberta job losses in January mean for Edmonton,-1,"What Alberta job losses in January mean for Edmonton. Statistics Canada says Alberta lost 19,000 jobs last month"
60,The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December,2019-10-16,U.S. stock indexes wobble as traders turn cautious over trade,-1,U.S. stock indexes wobble as traders turn cautious over trade. The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December
