,description,publishedAt,title,title_desc_sent_1,title_desc
44,"Canada’s job market unexpectedly weakened for a second-straight month, registering the biggest drop in employment since 2009 and casting doubt on the resiliency of the domestic outlook.",2019-12-06,Canada posts largest job loss since 2009 on full-time drop,-1,"Canada posts largest job loss since 2009 on full-time drop. Canada’s job market unexpectedly weakened for a second-straight month, registering the biggest drop in employment since 2009 and casting doubt on the resiliency of the domestic outlook."
4,Premier Dwight Ball says 'offshore industry has undergone tremendous challenges',2020-05-12,No decision made on Terra Nova oilfield shutdown: Suncor,0,No decision made on Terra Nova oilfield shutdown: Suncor. Premier Dwight Ball says 'offshore industry has undergone tremendous challenges'
53,It's a new version of a scam that has ripped off thousands of individuals,2019-11-06,Scammers spoofing more than a dozen federal government departments to defraud Canadians,0,Scammers spoofing more than a dozen federal government departments to defraud Canadians. It's a new version of a scam that has ripped off thousands of individuals
42,It was previously thought the payments began in the 1980s,2019-12-14,"Retirement payments for city workers date back to at least 1964, city clerk says",0,"Retirement payments for city workers date back to at least 1964, city clerk says. It was previously thought the payments began in the 1980s"
10,But laid-off bartender who originally qualified for EI found switch-over to COVID-19 benefit confusing,2020-04-07,Pretty good for government': Laid-off workers praise ease of COVID-19 emergency benefits site,0,Pretty good for government': Laid-off workers praise ease of COVID-19 emergency benefits site. But laid-off bartender who originally qualified for EI found switch-over to COVID-19 benefit confusing
85,"Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception",2019-07-03,"The world of monetary policy, according to Christine Lagarde",0,"The world of monetary policy, according to Christine Lagarde. Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception"
72,Open pit mine began commercial production this summer,2019-08-27,Whale Tail mine expansion undergoes public hearings this week in Baker Lake,0,Whale Tail mine expansion undergoes public hearings this week in Baker Lake. Open pit mine began commercial production this summer
94,Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,2019-06-05,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",0,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says. Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History"
36,"Total number of jobs tops 80,000",2020-01-14,P.E.I. sees 'tremendous growth' in jobs in 2019,1,"P.E.I. sees 'tremendous growth' in jobs in 2019. Total number of jobs tops 80,000"
11,‚Äö√Ñ√≤It‚Äö√Ñ√¥s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed‚Äö√Ñ√¥,2020-04-07,P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines,0,P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines. ‚Äö√Ñ√≤It‚Äö√Ñ√¥s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed‚Äö√Ñ√¥
