,description,publishedAt,title,title_desc_sent_1,title_desc
39,Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders,2019-12-17,Canfor privatization deal called off after failing to win shareholder support,-1,Canfor privatization deal called off after failing to win shareholder support. Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders
79,"New stock, new uses driving prices",2019-07-31,How Charlottetown has become one of the hottest housing markets in Canada,0,"How Charlottetown has become one of the hottest housing markets in Canada. New stock, new uses driving prices"
77,Average selling price of a home has risen 11% in last 12 months,2019-08-08,Rising Vanier house prices spark gentrification fears,0,Rising Vanier house prices spark gentrification fears. Average selling price of a home has risen 11% in last 12 months
17,The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23,Coronavirus puts a spotlight on the moral compass of America,0,Coronavirus puts a spotlight on the moral compass of America. The individualism the U.S. was founded on might not serve it well in the current public health crisis
59,"Tight regulations have unintended consequences, create waste, retailers and producers say",2019-10-17,"Alberta cannabis industry readies for edibles, but details still murky",0,"Alberta cannabis industry readies for edibles, but details still murky. Tight regulations have unintended consequences, create waste, retailers and producers say"
13,Canada had more than 100 confirmed cases on March 11 when pandemic declared,2020-04-11,What's happened in Canada since WHO declared COVID-19 a pandemic,0,What's happened in Canada since WHO declared COVID-19 a pandemic. Canada had more than 100 confirmed cases on March 11 when pandemic declared
76,Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter,2019-08-08,Uber loses $5.24B in Q2 after post-IPO stock payouts,-1,Uber loses $5.24B in Q2 after post-IPO stock payouts. Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter
113,"Brookfield is weighing options that would give it control of some retail properties from Meraas, including entering into a joint venture for those developments, sources say",2018-11-27,Brookfield in talks to invest in Dubai property developer Meraas,1,"Brookfield in talks to invest in Dubai property developer Meraas. Brookfield is weighing options that would give it control of some retail properties from Meraas, including entering into a joint venture for those developments, sources say"
99,'We got in two months what we thought we'd achieve through the course of the year. It's a bit disconcerting',2019-04-01,Cannabis gives Canadian stocks their best high in 19 years. Will it last?,1,Cannabis gives Canadian stocks their best high in 19 years. Will it last?. 'We got in two months what we thought we'd achieve through the course of the year. It's a bit disconcerting'
57,Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter',2019-10-23,WeWork co-founder pushed aside in $5B SoftBank takeover,-1,WeWork co-founder pushed aside in $5B SoftBank takeover. Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter'
70,"Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices",2019-09-03,"Processors, not ranchers, bearing the brunt of China's ban on Canadian meat",-1,"Processors, not ranchers, bearing the brunt of China's ban on Canadian meat. Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices"
80,Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month,2019-07-31,New Molson Coors CEO to address flat beer market with spiked seltzers,-1,New Molson Coors CEO to address flat beer market with spiked seltzers. Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month
