,description,publishedAt,title,title_desc_sent_1,title_desc
44,Royal Bank of Canada’s record-breaking profit engine may be running out of steam,2019-12-04,Royal Bank of Canada misses expectations in tough times for investment banking,-1,Royal Bank of Canada misses expectations in tough times for investment banking. Royal Bank of Canada’s record-breaking profit engine may be running out of steam
47,Local foodie eats his way through Regina to share his take on what‚Äôs good,2019-11-28,Cabbage rolls by the thousand: Peg's Kitchen's success lies in bringing 'down-home' Sask. cooking to the city,0,Cabbage rolls by the thousand: Peg's Kitchen's success lies in bringing 'down-home' Sask. cooking to the city. Local foodie eats his way through Regina to share his take on what‚Äôs good
4,Canada isn't running out of food ‚Äî but some producers may be running out of time,2020-05-06,The pandemic is creating a season of anxiety in hard-hit farm sectors,0,The pandemic is creating a season of anxiety in hard-hit farm sectors. Canada isn't running out of food ‚Äî but some producers may be running out of time
55,"Richard Branson plucks a dried grasshopper from a jar, takes a bite, and pronounces the insect surprisingly tasty before slurping down a vegan yogurt and offering to trial the concoction on Virgin Atlantic Airways flights.",2019-10-28,Branson ready for his biggest test yet as space shot beckons,0,"Branson ready for his biggest test yet as space shot beckons. Richard Branson plucks a dried grasshopper from a jar, takes a bite, and pronounces the insect surprisingly tasty before slurping down a vegan yogurt and offering to trial the concoction on Virgin Atlantic Airways flights."
26,American won 82 tournaments including 13 majors,2020-02-18,Hall of Fame golfer and LPGA great Mickey Wright dies at 85,0,Hall of Fame golfer and LPGA great Mickey Wright dies at 85. American won 82 tournaments including 13 majors
64,Experts weigh in on refining your search and getting your profiles right,2019-09-24,Job hunting advice: Tips for how to be effective today,0,Job hunting advice: Tips for how to be effective today. Experts weigh in on refining your search and getting your profiles right
73,Dow tumbles 800 points; TSX down 300,2019-08-14,Stocks get hammered as bond market’s warning spooks investors,-1,Stocks get hammered as bond market’s warning spooks investors. Dow tumbles 800 points; TSX down 300
10,Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily,2020-04-17,Shopify just leapfrogged Brookfield to become the third-largest company in Canada,1,Shopify just leapfrogged Brookfield to become the third-largest company in Canada. Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily
40,"Tenants will begin moving in this week, mayor says",2019-12-15,Brand new TCHC residence opens in Regent Park just in time for the holidays,0,"Brand new TCHC residence opens in Regent Park just in time for the holidays. Tenants will begin moving in this week, mayor says"
108,"Slack Technologies Inc. plans to forgo a traditional initial public offering and instead intends to sell its shares to bidders in a direct listing, a person familiar with the matter.",2019-01-11,Slack is planning for direct share listing instead of an IPO,0,"Slack is planning for direct share listing instead of an IPO. Slack Technologies Inc. plans to forgo a traditional initial public offering and instead intends to sell its shares to bidders in a direct listing, a person familiar with the matter."
